"Zip/Postal Code","Cod Poștal"
"State/Province","Sector/Județ"
"Billing address","Adresă de facturare"
"Already registered? Click here to login.","Sunteți deja înregistrat? Apăsați aici"
"Create an account for later use","Creeați un cont pentru a putea cumpăra mai repede data viitoare"
"Ship to the same address","Livrarea se face la aceeași adresă"
"Shipping method","Metoda de livrare"
"Payment method","Modalitatea de plată"
"Review your order","Verifică datele comenzii"
"Product","Produs"
"Qty","Cant."
"Subtotal","Subtotal"
"Subscribe to our newsletter","Mă abonez la newsletter"
"Tax","Taxe"
"Grand total","Total general"
"Please choose a shipping method.","Vă rugăm să selectați o metodă de livrare"
"Please choose a payment method.","Vă rugăm să selectați o modalitate de plată"
"Please enter valid details below.","Vă rugăm să introduceți date valide"
"Please check red fields below and try again.","Verificați câmpurile marcate cu roșu, apoi retrimiteți comanda"
"Login","Autentificare"
"Please login with your email address and password.","Autentificați-vă folosind adresa de email și parola"
"Email address","Adresă de email"
"Password","Parolă"
"Confirm password","Confirmare parolă"
"Forgotten your password?","V-ați uitat parola?"
"Close","Închide"
"Please enter a username and password.","Introduceți un nume de utilizator și o parolă"
"Invalid login or password.","Autentificare eșuată"
"Enter your email below and we'll send you a new password by email.","Introduceți adresa de email în câmpul de mai jos, iar noi vă vom trimite o parolă nouă pe email"
"Send password","Trimite parola"
"Return to login","Înapoi la pagina de autentificare"
"Please enter a valid email address","Vă rugăm să introduceți o adresă de email validă"
"Please enter a registered email address.","Vă rugăm să introduceți o adresă de email înregistrată"
"Invalid email address.","Adresa de email este invalidă"
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Această adresă de email există deja. Vă rugăm <a href=""#"" onclick=""login_popup.show(); return false;"">autentificați-vă</a> sau folosiți o alta adresă de email"
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Sunt de acord cu <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Termenii și Condițiile</a>"
"Comments","Comentarii"
"You need to have products in your cart to checkout, and your cart is empty.","Coșul dvs. este gol. Mai întâi adăgați produse în coș și apoi puteți lansa comanda"
"Back to homepage","Înapoi la prima pagină"
"Coupon code:","Cod cupon:"
"Apply Coupon","Aplică cupon"
"Please enter a valid coupon code.","Introduceți un cod de cupon valid"
"Cancel Coupon","Anulează cupon"
"Shipping address","Adresă de livrare"
"How did you hear about us?","De unde ați aflat de noi?"
"Please choose","Vă rugăm selectați"
"Other","Altul"
"Please specify:","Specificați:"
