"Enable Debug Mode","Activeer Debug Modus"
"If set yo yes, will display potential error messages in frontend.","Indien op ingesteld op JA worden fouten op de frontend weergegeven."
"Enable Suggestion","Activeer Suggesties"
"Also known as ""Did you mean?"" feature. If set to yes, will display a suggestion if search engine detects a better text query.","Bekend als de ""Bedoelde je?"" eigenschap. Indien ingesteld dan wordt een suggestie weergegeven."
"Servers","Servers"
"host:port separated by comma. Follow this pattern for full available parameters: <a href=""http://php.net/manual/en/function.parse-url.php"" target=""_blank"">http://php.net/manual/en/function.parse-url.php</a>","host:port gescheiden door een komma. Alle beschikbare parameters: <a href=""http://php.net/manual/en/function.parse-url.php"" target=""_blank"">http://php.net/manual/en/function.parse-url.php</a>"
"Server Timeout","Server Timeout"
"Number of seconds after a timeout occurs for every request. If using indexing of file, large value necessary.","Aantal seconden na een timeout voor elk request. Bij het indexen is een grote waarde nodig."
"Number of Shards","Aantal Fragmenten"
"Having more shards enhances the indexing performance and allows to distribute a big index across machines.","Bij het gebruik van meer fragmenten wordt de index performance verbeterd en wordt het mogelijk een grote index over andere machines te distributeren."
"Number of Replicas","Aantal Kopieën"
"Query Operator","Query Operator"
"For example, with the OR operator, the query ""digital camera"" is translated to ""digital OR camera"", with the AND operator, the same query is translated to ""digital AND camera"". The default value is AND.","Bijvoorbeeld met de OR operator, de zoekterm ""digitale camera"" is vertaald naar ""digitale OR camera"", met de OR operator, de zelfde zoekterm in vertaald naar ""digitale AND camera"". De standaard waarde is AND."
"Enable Fuzzy Query","Activeer Fuzzy Query"
"Enables approximative search: http://www.elasticsearch.org/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html","Activeer zoeken bij benadering: http://www.elasticsearch.org/guide/en/elasticsearch/reference/current/query-dsl-flt-query.html"
"Did you mean %s?","Bedoelde je %s?"
"Autocomplete Settings","Auto Aanvulling Instellingen"
"Enable Autocomplete","Activeer Auto Aanvulling"
"If enabled, will override default autocomplete to display products directly.","Indien ingesteld worden in de autocomplete de producten direct getoond."
"Autocomplete Limit","Auto Aanvulling Limiet"
"Limit the number of results in autocompletion.","Beperk het aantal resultaten in de auto aanvulling."
"Image Size","Afmetingen afbeeldingen"
"Image size in px, default is 50px.","Afmetingen afbeeldingen in px, standaard 50px."
"All Results (%s)","Alle Resultaten (%s)"
"No Result","Geen Resultaat"
"Index Prefix","Index Prefix"
"Used to prefix index names to avoid potential collisions.","Gebruikt om de index namen te prefixen om conflicten te voorkomen."
"Safe Reindex","Veilige Reindex"
"Reindex in a temporary index and switch to it once finished. Especially useful for large catalog.","Herindex in een tijdelijke index en verwissel als deze klaar is."
"Enable Source Storage","Activeer Bron Opslag"
"Should we store source data in Elasticsearch or not. Keep this setting to No for better performances. Will be forced to Yes if fast autocomplete is enabled.","Moeten we data opslaan in Elasticsearch of niet. Laat deze instelling op Nee staan voor betere performance."
